Date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,coin,NETT_DEALERS,COT_DEALERS,NETT_DEALERS/OI,New_WILLCO_DEALERS
2006-06-13,292367.0,64903.0,112543.0,53668.0,29129.0,4178.0,2019.0,60808.0,49779.0,25248.0,5863.0,567.0,504.0,242142.0,248506.0,50225.0,43861.0,Japanese Yen,-476.4,,-0.0016294588650565898,
2006-06-20,210140.0,31216.0,64072.0,33495.0,24846.0,4252.0,1985.0,51264.0,49286.0,24660.0,5385.0,206.0,508.0,173359.0,178463.0,36781.0,31678.0,Japanese Yen,-328.56,,-0.0015635290758541924,
2006-06-27,223924.0,40959.0,61554.0,34740.0,27162.0,4939.0,1558.0,50156.0,58928.0,25610.0,6124.0,1619.0,633.0,186943.0,189580.0,36981.0,34344.0,Japanese Yen,-205.95,,-0.0009197316946821242,
2006-07-03,219635.0,35420.0,70716.0,34108.0,27030.0,4169.0,2019.0,50587.0,49401.0,25675.0,6491.0,1681.0,794.0,182124.0,188563.0,37511.0,31072.0,Japanese Yen,-352.96,,-0.0016070298449700638,
2006-07-11,222175.0,33684.0,80176.0,34607.0,28754.0,1838.0,3069.0,52338.0,48973.0,25109.0,7107.0,1006.0,747.0,185415.0,195525.0,36761.0,26650.0,Japanese Yen,-464.92,,-0.002092584674243277,
2006-07-18,253725.0,53555.0,47530.0,43339.0,30433.0,2421.0,2251.0,55502.0,93067.0,26323.0,6961.0,3575.0,580.0,218943.0,219085.0,34782.0,34640.0,Japanese Yen,60.25,,0.00023746181889841363,
2006-07-25,259161.0,62903.0,47186.0,43958.0,29100.0,2610.0,2186.0,53030.0,98146.0,26335.0,6358.0,3951.0,592.0,224461.0,224963.0,34700.0,34198.0,Japanese Yen,157.17,,0.0006064569900563741,
2006-08-01,246090.0,43458.0,71609.0,42419.0,28019.0,2611.0,2959.0,59651.0,65393.0,25853.0,7210.0,2998.0,696.0,210264.0,214537.0,35827.0,31553.0,Japanese Yen,-281.51,,-0.001143931082124426,
2006-08-08,247575.0,42915.0,73272.0,41640.0,30656.0,2363.0,2722.0,60239.0,71432.0,24783.0,7124.0,1548.0,632.0,210711.0,218394.0,36863.0,29181.0,Japanese Yen,-303.57,,-0.0012261738867009996,
2006-08-15,265945.0,48063.0,64824.0,45094.0,33068.0,2377.0,2219.0,65005.0,89100.0,25403.0,8135.0,1342.0,105.0,227091.0,230463.0,38854.0,35482.0,Japanese Yen,-167.61,,-0.0006302430953768637,
2006-08-22,277702.0,61659.0,61062.0,45018.0,32770.0,2569.0,2332.0,63586.0,100769.0,26107.0,7505.0,2786.0,537.0,239513.0,241179.0,38189.0,36524.0,Japanese Yen,5.97,,2.1497864617467643e-05,
2006-08-29,295624.0,74318.0,55573.0,46893.0,34058.0,3522.0,2187.0,62881.0,118540.0,26576.0,7490.0,2065.0,540.0,254943.0,255895.0,40681.0,39729.0,Japanese Yen,187.45,,0.000634082483154277,
2006-09-05,279878.0,60381.0,57116.0,47257.0,33755.0,4164.0,2202.0,59321.0,100512.0,26495.0,9099.0,2486.0,524.0,239034.0,240755.0,40844.0,39123.0,Japanese Yen,32.65,,0.00011665797240226099,
2006-09-12,315971.0,87821.0,49720.0,64095.0,36217.0,6224.0,903.0,73700.0,129773.0,6248.0,7286.0,2937.0,365.0,276634.0,260265.0,39336.0,55706.0,Japanese Yen,381.01,,0.0012058385104962164,
2006-09-19,267109.0,86580.0,43929.0,31255.0,35135.0,6848.0,901.0,52200.0,124622.0,17307.0,8285.0,3513.0,376.0,232039.0,228751.0,35070.0,38358.0,Japanese Yen,426.51,,0.0015967638679340644,
2006-09-26,263902.0,92549.0,43267.0,25608.0,34325.0,6168.0,873.0,49435.0,130173.0,17489.0,9603.0,2254.0,497.0,230378.0,226328.0,33524.0,37574.0,Japanese Yen,492.82,,0.0018674356389871997,
2006-10-03,287400.0,108387.0,44724.0,26746.0,34308.0,6241.0,735.0,53199.0,148978.0,17623.0,8761.0,3702.0,493.0,250251.0,249241.0,37149.0,38159.0,Japanese Yen,636.63,,0.0022151356993736953,
2006-10-10,307940.0,126176.0,42473.0,25249.0,35054.0,6933.0,656.0,58050.0,171508.0,17017.0,8542.0,2345.0,378.0,271121.0,266560.0,36819.0,41380.0,Japanese Yen,837.03,,0.0027181593816977333,
2006-10-17,303057.0,120688.0,46928.0,26016.0,35731.0,6975.0,642.0,54940.0,162274.0,17345.0,9898.0,3645.0,380.0,265639.0,264204.0,37418.0,38853.0,Japanese Yen,737.6,,0.0024338655764427155,
2006-10-24,326283.0,132620.0,48341.0,27615.0,37011.0,6876.0,625.0,61907.0,182008.0,18143.0,8687.0,3233.0,416.0,287024.0,287257.0,39260.0,39026.0,Japanese Yen,842.79,,0.0025830030985371593,
2006-10-31,273844.0,76129.0,73305.0,29234.0,34728.0,5849.0,1122.0,58164.0,109131.0,19091.0,10795.0,1528.0,1018.0,230281.0,240278.0,43564.0,33566.0,Japanese Yen,28.24,,0.00010312440659645637,
2006-11-07,272379.0,70582.0,69547.0,32824.0,35598.0,5906.0,994.0,62066.0,110048.0,19156.0,8954.0,1487.0,669.0,230843.0,240631.0,41536.0,31748.0,Japanese Yen,10.35,,3.799852411529523e-05,
2006-11-14,277296.0,70457.0,73102.0,36914.0,34516.0,5988.0,966.0,61319.0,106786.0,19170.0,9812.0,1898.0,713.0,233866.0,245536.0,43430.0,31760.0,Japanese Yen,-26.45,,-9.538543650106745e-05,
2006-11-21,303220.0,85969.0,72119.0,41711.0,34398.0,6148.0,878.0,69197.0,126660.0,19467.0,9546.0,1296.0,720.0,261885.0,268998.0,41335.0,34222.0,Japanese Yen,138.5,,0.000456764065694875,
2006-11-28,299794.0,68219.0,96295.0,49027.0,32532.0,5483.0,1053.0,68727.0,92062.0,20519.0,9415.0,1629.0,652.0,250144.0,266718.0,49650.0,33075.0,Japanese Yen,-280.76,,-0.0009365097366858576,
2006-12-05,318294.0,65995.0,110462.0,64170.0,30010.0,4935.0,1238.0,66011.0,79302.0,21940.0,11182.0,2226.0,694.0,261239.0,284967.0,57055.0,33327.0,Japanese Yen,-444.67,,-0.0013970417287162184,0.14458115780823974
2006-12-12,297863.0,95853.0,103438.0,51231.0,28192.0,4676.0,1018.0,57098.0,100494.0,4962.0,10420.0,872.0,422.0,249195.0,267112.0,48668.0,30751.0,Japanese Yen,-75.85,,-0.000254647270725132,0.38204846945627696
2006-12-19,247347.0,148420.0,52739.0,3578.0,28236.0,10592.0,788.0,13053.0,137497.0,4517.0,7869.0,2673.0,491.0,206951.0,212874.0,40396.0,34473.0,Japanese Yen,956.81,,0.0038682902966278142,1.0
2006-12-26,271683.0,161565.0,54846.0,4627.0,29227.0,10169.0,659.0,19337.0,155858.0,5164.0,7588.0,3285.0,477.0,228643.0,235084.0,43041.0,36599.0,Japanese Yen,1067.19,,0.003928070582259472,1.0
